dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scifact,V8_BM25,0.6817,0.6817,0.7044,0.6369,0.6446,0.0907,0.0104,0.8367,0.8212,0.9006,0.9176,0.942,0.962,0.9727,0.91,0.96,0.97,0.9233,0.9733,0.9729,22.42,24.57,26.61,21.68,38.28,65.51,5183,300,35.27,2797.74,5.67,0.0,0.7014,0.91
scifact,V8_DPH,0.6703,0.6703,0.6958,0.6279,0.6359,0.0883,0.0103,0.82,0.8009,0.8806,0.9179,0.9426,0.9577,0.9693,0.91,0.9533,0.9667,0.9233,0.97,0.9696,22.42,24.38,26.81,21.68,51.48,58.87,5183,300,35.27,2830.13,5.67,0.0,0.6895,0.89
nfcorpus,V8_BM25,0.3222,0.3233,0.2736,0.1447,0.5245,0.2344,0.0645,0.6966,0.152,0.2179,0.2473,0.2797,0.3272,0.3581,0.0557,0.065,0.0743,0.7926,0.8235,0.6405,7.46,22.26,24.59,10.37,111.26,25.98,3633,323,25.31,2799.87,4.83,0.0,0.2757,0.7709
nfcorpus,V8_DPH,0.317,0.3186,0.2704,0.1422,0.516,0.2288,0.0632,0.6935,0.1503,0.2164,0.2441,0.2772,0.3292,0.3594,0.0557,0.0681,0.0743,0.7957,0.8266,0.6424,7.4,22.49,25.19,10.4,131.43,24.26,3633,323,25.31,2800.46,4.83,0.0,0.2727,0.7709
arguana,V8_BM25,0.3569,0.3569,0.4069,0.2458,0.2341,0.0747,0.0097,0.7468,0.7468,0.941,0.9651,0.978,0.9872,0.9915,0.9651,0.9872,0.9915,0.9651,0.9915,0.9915,30.91,35.75,42.17,31.49,32.6,70.47,8674,1406,33.09,3294.09,6.29,0.0,0.403,0.941
arguana,V8_DPH,0.3152,0.3152,0.3745,0.2151,0.2019,0.0678,0.0094,0.6778,0.6778,0.9125,0.9438,0.9644,0.9801,0.9893,0.9438,0.9801,0.9893,0.9438,0.9893,0.9893,31.5,36.34,42.76,31.94,34.06,69.36,8674,1406,33.09,3295.45,6.29,0.0,0.3694,0.9125
bright_pony,V8_BM25,0.0231,0.0231,0.0815,0.0118,0.057,0.0241,0.0277,0.1964,0.0147,0.0784,0.1424,0.2507,0.4938,0.7441,0.0,0.0179,0.0625,0.8214,1.0,0.9695,30.25,32.41,34.61,30.57,33.81,84.1,7894,112,10.68,3126.02,5.75,0.0,0.0522,0.6786
bright_pony,V8_DPH,0.0559,0.0559,0.1221,0.0229,0.121,0.0589,0.0372,0.4107,0.0323,0.1274,0.198,0.302,0.4836,0.6793,0.0089,0.0179,0.0268,0.9196,1.0,0.9599,30.27,32.36,34.53,30.64,36.89,82.83,7894,112,10.68,3134.07,5.75,0.0,0.0928,0.8482
bright_theoremqa_theorems,V8_BM25,0.0161,0.0161,0.0333,0.0111,0.0145,0.0053,0.0018,0.0526,0.0329,0.0811,0.1118,0.1469,0.2346,0.3289,0.0658,0.1974,0.2632,0.1579,0.4079,0.3465,16.35,18.01,18.86,16.39,48.41,58.63,23839,76,27.55,3137.75,6.92,0.0,0.0278,0.1184
bright_theoremqa_theorems,V8_DPH,0.0248,0.0248,0.0386,0.0196,0.0307,0.0066,0.0017,0.0526,0.0329,0.0548,0.0965,0.1425,0.1992,0.3242,0.0526,0.1316,0.25,0.1447,0.4211,0.3448,16.97,20.34,21.75,17.4,69.73,55.35,23839,76,27.55,3132.7,6.92,0.0,0.0311,0.0921
scidocs,V8_BM25,0.1506,0.1506,0.2155,0.1025,0.2601,0.0786,0.0173,0.483,0.1593,0.2879,0.3509,0.4183,0.5035,0.5628,0.052,0.118,0.154,0.772,0.93,0.6548,23.6,25.76,28.23,23.85,43.74,63.85,25657,1000,80.29,3317.41,7.55,0.0,0.1983,0.695
scidocs,V8_DPH,0.1445,0.1445,0.2069,0.0969,0.2507,0.0762,0.0167,0.479,0.1545,0.2775,0.3388,0.405,0.4922,0.5607,0.043,0.109,0.152,0.764,0.933,0.6538,23.72,25.81,28.12,23.97,47.27,62.21,25657,1000,80.29,3329.25,7.55,0.0,0.1901,0.682
