dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scifact,BGE_Vocab_QE,0.6603,0.6603,0.685,0.6135,0.6233,0.089,0.0103,0.8233,0.8043,0.8936,0.9142,0.9392,0.962,0.972,0.9067,0.96,0.97,0.92,0.9733,0.9724,23.03,25.22,26.84,23.22,16.81,101.45,5183,300,0.0,2852.25,0.0,0.0,0.6816,0.9033
bright_pony,BGE_Vocab_QE,0.0441,0.0441,0.0876,0.0158,0.1085,0.0429,0.0263,0.3304,0.0242,0.0787,0.1365,0.2257,0.4252,0.638,0.0,0.0179,0.0179,0.875,1.0,0.9606,30.65,32.61,33.94,30.99,11.55,142.43,7894,112,0.0,2843.95,0.0,0.0,0.0625,0.7143
scifact,LLM_Q2E_ZS,0.6851,0.6851,0.7066,0.6381,0.6446,0.092,0.0104,0.8467,0.8302,0.9006,0.9242,0.942,0.9653,0.976,0.9167,0.9633,0.9733,0.93,0.9767,0.9762,627.12,744.74,842.62,633.98,44.63,662.29,5183,300,0.0,840.57,0.0,0.0,0.7026,0.91
bright_pony,LLM_Q2E_ZS,0.023,0.023,0.0833,0.0123,0.055,0.0232,0.028,0.1696,0.0152,0.0772,0.1448,0.2607,0.5121,0.756,0.0,0.0179,0.0625,0.8393,1.0,0.9724,734.84,923.11,1057.99,764.45,37.16,802.54,7894,112,0.0,857.16,0.0,0.0,0.0525,0.6696
nfcorpus,BGE_Vocab_QE,0.3275,0.3296,0.2965,0.1519,0.5322,0.2387,0.0748,0.7152,0.1533,0.2442,0.2892,0.338,0.4225,0.4888,0.0712,0.1022,0.1084,0.8297,0.8947,0.7632,22.34,26.0,29.28,18.06,24.07,73.67,3633,323,0.0,2843.67,0.0,0.0,0.2921,0.7988
arguana,BGE_Vocab_QE,0.2635,0.2635,0.3311,0.185,0.1708,0.0558,0.0087,0.5583,0.5583,0.8094,0.8706,0.9161,0.9595,0.978,0.8706,0.9595,0.978,0.8706,0.978,0.978,31.46,35.37,40.91,31.94,28.21,76.5,8674,1406,0.0,3286.27,0.0,0.0,0.3211,0.8094
bright_theoremqa_theorems,BGE_Vocab_QE,0.014,0.014,0.0273,0.0086,0.0137,0.0053,0.0017,0.0526,0.0263,0.0636,0.0899,0.125,0.2467,0.2793,0.0526,0.1842,0.2105,0.1316,0.3684,0.2985,17.51,18.81,19.48,17.45,9.56,144.53,23839,76,0.0,3141.94,0.0,0.0,0.0227,0.1053
scidocs,BGE_Vocab_QE,0.1425,0.1425,0.2069,0.0964,0.2477,0.0748,0.0169,0.465,0.1517,0.2806,0.3422,0.408,0.5031,0.5692,0.048,0.117,0.166,0.767,0.933,0.6611,25.5,27.84,30.42,25.79,33.4,73.24,25657,1000,0.0,3209.27,0.0,0.0,0.1901,0.685
bright_economics,BGE_Vocab_QE,0.1104,0.1104,0.1656,0.0869,0.1236,0.0505,0.023,0.2233,0.1184,0.2348,0.3523,0.4207,0.5676,0.6461,0.2039,0.3592,0.4175,0.5534,0.8252,0.7194,34.78,38.6,42.86,35.31,10.14,161.39,50220,103,0.0,3104.82,0.0,0.0,0.1394,0.4175
bright_psychology,BGE_Vocab_QE,0.0674,0.0674,0.1181,0.0484,0.0801,0.0396,0.0133,0.198,0.0915,0.2282,0.2913,0.3919,0.5359,0.6197,0.2079,0.3762,0.4257,0.4554,0.8218,0.7004,34.06,38.96,41.32,34.86,10.22,159.86,52835,101,0.0,3122.7,0.0,0.0,0.1032,0.3861
